symbol,trade_date,open,high,low,close,volume,amount,drawdown
000001.SZ,2024-03-19,181.73,188.66,179.54,183.18,154495,83313639.45,-0.121896
000001.SZ,2024-03-20,184.88,189.78,185.05,185.75,330907,19058259.19,-0.109616
000001.SZ,2024-03-21,196.45,197.9,187.91,193.05,112672,78630960.19,-0.074608
000001.SZ,2024-03-22,193.64,196.83,191.9,192.72,404868,22789490.16,-0.076199
000001.SZ,2024-03-25,193.38,196.78,192.85,194.85,65089,59710341.84,-0.065997
300750.SZ,2024-01-02,159.13,159.17,153.51,156.03,80184,60460266.18,0.0
300750.SZ,2024-01-03,157.57,165.15,154.36,159.42,135809,10593304.29,0.0
300750.SZ,2024-01-04,164.53,168.43,158.56,164.71,398987,41833758.18,0.0
300750.SZ,2024-01-05,163.21,165.92,159.14,163.05,301838,19542456.93,-0.010116
300750.SZ,2024-01-08,159.41,167.03,161.12,161.47,217989,27745777.12,-0.019703
300750.SZ,2024-01-09,160.32,162.0,153.18,159.4,120268,59325968.51,-0.032267
300750.SZ,2024-01-10,164.44,163.58,158.31,163.4,153983,57573696.26,-0.00798
300750.SZ,2024-01-11,164.32,168.24,166.2,167.54,130345,57589041.35,0.0
300750.SZ,2024-01-12,171.69,174.2,168.26,173.51,375020,75488310.25,0.0
300750.SZ,2024-01-15,180.41,180.89,175.7,178.06,142242,32391985.87,0.0
300750.SZ,2024-01-16,173.68,171.06,164.72,170.97,143548,10589913.35,-0.039805
300750.SZ,2024-01-17,170.15,176.36,168.36,172.34,451702,72013792.3,-0.032101
300750.SZ,2024-01-18,166.89,169.7,163.79,167.96,315632,28658103.4,-0.056743
300750.SZ,2024-01-19,166.79,168.69,163.0,165.97,246256,30291167.82,-0.067895
300750.SZ,2024-01-22,169.84,171.94,161.11,166.84,440810,44938460.64,-0.062988
300750.SZ,2024-01-23,173.19,175.95,166.58,170.5,60111,29138614.29,-0.042477
300750.SZ,2024-01-24,167.15,171.1,161.92,166.87,112710,71039460.76,-0.062845
300750.SZ,2024-01-25,160.39,160.65,152.13,157.34,172538,9169014.31,-0.116373
300750.SZ,2024-01-26,160.83,158.95,155.53,158.21,173324,47363644.28,-0.111502
300750.SZ,2024-01-29,169.84,174.42,163.46,168.82,54948,18840023.0,-0.051893
300750.SZ,2024-01-30,170.82,174.01,165.42,168.13,320232,58722993.75,-0.055753
300750.SZ,2024-01-31,166.31,174.66,164.58,168.5,222412,47771274.47,-0.053701
300750.SZ,2024-02-01,172.98,177.35,174.33,176.17,87259,56625390.12,-0.010593
300750.SZ,2024-02-02,177.13,181.74,173.86,178.95,210052,66850233.52,0.0
300750.SZ,2024-02-05,178.64,184.18,176.32,180.1,348652,84929657.59,0.0
300750.SZ,2024-02-06,183.96,183.84,175.21,182.27,168018,57922433.28,0.0
300750.SZ,2024-02-07,180.3,187.24,180.63,183.59,200409,72869500.8,0.0
300750.SZ,2024-02-08,175.73,179.08,176.6,178.54,272971,64236798.25,-0.027494
300750.SZ,2024-02-09,172.28,174.44,171.49,172.73,409737,62636024.6,-0.059135
300750.SZ,2024-02-12,179.41,185.33,176.43,181.06,91211,83790994.74,-0.013813
300750.SZ,2024-02-13,179.42,188.99,178.03,182.07,133309,53502005.23,-0.008294
300750.SZ,2024-02-14,185.43,188.06,181.29,182.71,346452,66052982.64,-0.00482
300750.SZ,2024-02-15,185.03,184.3,178.75,182.48,149544,90226057.92,-0.00607
300750.SZ,2024-02-16,189.53,186.52,184.03,186.22,466361,24443437.28,0.0
300750.SZ,2024-02-19,198.77,205.49,190.57,198.23,363839,36435772.98,0.0
300750.SZ,2024-02-20,204.44,208.83,200.58,201.02,263396,88031898.98,0.0
300750.SZ,2024-02-21,201.0,200.8,196.91,198.27,66653,63113180.45,-0.013702
300750.SZ,2024-02-22,195.67,198.76,190.5,197.81,363329,40143435.91,-0.016005
300750.SZ,2024-02-23,205.13,203.83,197.73,203.3,292771,82504219.22,0.0
300750.SZ,2024-02-26,199.09,205.56,199.63,200.54,327138,31050116.46,-0.01357
300750.SZ,2024-02-27,201.11,212.15,196.99,205.01,443615,59048568.87,0.0
300750.SZ,2024-02-28,196.72,199.5,193.31,193.32,207820,76408637.23,-0.057018
300750.SZ,2024-02-29,191.65,196.1,189.54,192.41,443154,94825393.57,-0.061495
300750.SZ,2024-03-01,197.72,198.89,191.09,195.62,381912,30800449.41,-0.045818
300750.SZ,2024-03-04,198.88,204.89,196.27,202.03,183338,31339297.55,-0.014566
300750.SZ,2024-03-05,194.47,198.24,198.0,198.1,242497,44164956.32,-0.033744
300750.SZ,2024-03-06,192.22,192.52,190.47,190.85,403855,17221522.22,-0.069079
300750.SZ,2024-03-07,189.17,196.47,189.38,189.8,260330,61881082.4,-0.074217
300750.SZ,2024-03-08,182.19,191.97,178.97,184.65,474229,63212764.34,-0.099338
300750.SZ,2024-03-11,184.94,187.92,178.48,184.15,129437,27477925.19,-0.101793
300750.SZ,2024-03-12,181.99,190.05,179.51,184.3,76029,89586903.73,-0.101045
300750.SZ,2024-03-13,181.14,185.03,178.37,178.41,128252,40731473.37,-0.129792
300750.SZ,2024-03-14,184.05,187.24,176.01,182.17,417124,27507564.66,-0.111421
300750.SZ,2024-03-15,179.63,185.54,178.68,181.64,311038,16559730.42,-0.114025
300750.SZ,2024-03-18,189.54,188.71,180.22,186.73,449936,89636311.22,-0.089207
300750.SZ,2024-03-19,180.88,184.07,175.84,178.3,297885,15894380.28,-0.130305
300750.SZ,2024-03-20,173.31,176.54,168.79,173.94,375539,47511812.12,-0.151551
300750.SZ,2024-03-21,173.41,177.92,174.13,176.36,84258,76373593.64,-0.139744
300750.SZ,2024-03-22,172.98,176.34,170.2,173.02,421106,35730635.74,-0.156069
300750.SZ,2024-03-25,173.71,176.38,167.42,172.48,445383,70516687.09,-0.158697
601318.SH,2024-01-02,143.73,142.8,137.05,141.5,64010,48570299.97,0.0
601318.SH,2024-01-03,142.68,148.4,140.41,143.44,485687,19146928.17,0.0
601318.SH,2024-01-04,149.58,151.98,146.05,147.41,430152,57850944.7,0.0
601318.SH,2024-01-05,152.63,152.66,145.99,151.86,464381,49733717.25,0.0
601318.SH,2024-01-08,159.13,160.29,151.71,157.26,106333,56378897.61,0.0
601318.SH,2024-01-09,159.52,161.25,156.72,159.97,78894,49892296.95,0.0
601318.SH,2024-01-10,157.99,164.55,155.06,159.46,254849,8806893.99,-0.003178
601318.SH,2024-01-11,157.47,162.72,156.87,160.21,320009,29036869.14,0.0
601318.SH,2024-01-12,166.49,170.88,163.74,165.2,67828,43980212.23,0.0
601318.SH,2024-01-15,159.43,163.56,161.9,161.99,114122,44465864.4,-0.019423
601318.SH,2024-01-16,164.42,168.24,160.76,163.64,54396,32222703.02,-0.009405
601318.SH,2024-01-17,162.31,162.77,157.99,162.2,64941,13845294.44,-0.018155
601318.SH,2024-01-18,161.81,163.34,159.67,162.48,360259,66658465.99,-0.016468
601318.SH,2024-01-19,165.82,168.96,161.82,167.83,336393,61747921.58,0.0
601318.SH,2024-01-22,165.64,175.12,162.4,168.8,293583,62301012.08,0.0
601318.SH,2024-01-23,171.68,174.0,167.83,169.17,202752,70486978.45,0.0
601318.SH,2024-01-24,160.84,169.44,160.62,163.58,417783,41475860.96,-0.032996
601318.SH,2024-01-25,167.76,170.31,165.01,166.8,86733,12870062.15,-0.013989
601318.SH,2024-01-26,167.94,170.74,168.79,169.66,148646,82986859.76,0.0
601318.SH,2024-01-29,177.84,180.31,177.5,179.0,346418,49080754.21,0.0
601318.SH,2024-01-30,178.2,182.92,172.32,177.81,498350,86885956.16,-0.006694
601318.SH,2024-01-31,180.03,180.39,176.67,178.96,82489,11416354.09,-0.000259
601318.SH,2024-02-01,178.51,183.59,179.3,180.25,377226,69256160.02,0.0
601318.SH,2024-02-02,186.98,190.14,182.82,187.54,494442,12762004.71,0.0
601318.SH,2024-02-05,190.03,191.62,183.08,187.28,376365,50378987.85,-0.001382
601318.SH,2024-02-06,191.6,195.58,184.41,188.78,174572,59758310.19,0.0
601318.SH,2024-02-07,195.0,193.45,188.94,191.83,334202,72877566.03,0.0
601318.SH,2024-02-08,190.08,198.44,192.22,192.92,130857,30268069.75,0.0
601318.SH,2024-02-09,194.56,192.34,189.85,190.96,271525,30793006.96,-0.010161
601318.SH,2024-02-12,194.93,195.5,188.35,192.08,211655,60855416.0,-0.004368
601318.SH,2024-02-13,194.77,200.51,197.18,197.42,166160,68216484.5,0.0
601318.SH,2024-02-14,191.21,198.51,185.86,192.56,486419,48948685.38,-0.024663
601318.SH,2024-02-15,191.35,193.96,186.97,193.39,283898,38997044.38,-0.020445
601318.SH,2024-02-16,192.7,193.48,184.48,190.2,327715,70001918.5,-0.036611
601318.SH,2024-02-19,193.46,197.38,188.51,196.07,381380,68371775.26,-0.006865
601318.SH,2024-02-20,188.61,195.17,187.33,188.8,313409,83207998.82,-0.04369
601318.SH,2024-02-21,184.16,187.18,180.91,186.35,75689,53860034.73,-0.056097
601318.SH,2024-02-22,191.58,188.59,181.68,188.29,253489,88543907.45,-0.046251
601318.SH,2024-02-23,194.41,199.83,188.34,195.85,116754,96747363.96,-0.00797
601318.SH,2024-02-26,199.37,195.76,195.35,195.73,337603,86229373.22,-0.008608
601318.SH,2024-02-27,192.85,197.19,189.25,193.2,350088,21801772.73,-0.021377
601318.SH,2024-02-28,198.68,204.98,200.09,202.48,140834,71485798.48,0.0
601318.SH,2024-02-29,199.03,196.09,192.8,195.36,249687,86086476.08,-0.0352
601318.SH,2024-03-01,182.43,189.93,183.62,184.81,475076,66063502.45,-0.087271
601318.SH,2024-03-04,187.01,191.65,186.05,187.03,306774,11909024.57,-0.076318
601318.SH,2024-03-05,188.06,189.97,182.48,184.87,147053,64057247.4,-0.086987
601318.SH,2024-03-06,179.57,185.03,173.89,180.34,346030,90120025.08,-0.109384
601318.SH,2024-03-07,180.39,190.89,179.35,183.71,441839,73864546.37,-0.092722
601318.SH,2024-03-08,185.51,190.48,184.11,185.01,231863,36477974.86,-0.086285
601318.SH,2024-03-11,183.81,188.49,180.85,182.59,409016,44919044.58,-0.098256
601318.SH,2024-03-12,179.18,177.78,173.7,176.93,52591,34688917.03,-0.126217
601318.SH,2024-03-13,180.0,183.83,178.76,180.96,224851,45586722.72,-0.106285
601318.SH,2024-03-14,182.15,186.83,178.4,184.09,82938,59192975.62,-0.090864
601318.SH,2024-03-15,185.05,188.37,179.87,183.81,220903,80602016.29,-0.092209
601318.SH,2024-03-18,192.63,196.17,184.98,192.48,203561,42555617.42,-0.049392
601318.SH,2024-03-19,186.77,191.88,184.03,187.53,323557,73922214.54,-0.073872
601318.SH,2024-03-20,182.82,185.75,180.24,180.56,58204,24935558.54,-0.108267
601318.SH,2024-03-21,174.12,182.22,176.89,177.62,159567,82977361.04,-0.1228
601318.SH,2024-03-22,174.47,184.23,172.99,177.59,95639,47709244.99,-0.122923
601318.SH,2024-03-25,177.11,180.89,173.9,178.85,411361,52336112.68,-0.11671
600036.SH,2024-01-02,77.66,79.26,78.66,78.99,136340,15443971.2,0.0
600036.SH,2024-01-03,79.71,81.74,77.6,80.6,283576,6481984.97,0.0
600036.SH,2024-01-04,80.42,80.2,78.0,79.46,446035,27246746.8,-0.014083
600036.SH,2024-01-05,76.49,77.38,74.35,76.39,351269,37992626.88,-0.052209
600036.SH,2024-01-08,76.7,77.91,75.39,76.21,259342,5872908.59,-0.054442
600036.SH,2024-01-09,76.17,78.89,73.47,75.98,360502,10669264.02,-0.057261
600036.SH,2024-01-10,74.32,74.5,72.58,74.22,390273,15318707.67,-0.079161
600036.SH,2024-01-11,75.81,77.71,75.09,75.31,155588,17298707.29,-0.065554
600036.SH,2024-01-12,77.77,82.0,78.63,78.86,292980,33826267.89,-0.021481
600036.SH,2024-01-15,79.45,81.36,76.49,79.38,389871,8531253.23,-0.015064
600036.SH,2024-01-16,80.82,82.28,78.85,79.78,66272,14871557.83,-0.010128
600036.SH,2024-01-17,77.25,79.11,75.14,77.99,471631,23335526.16,-0.032331
600036.SH,2024-01-18,80.16,82.08,79.01,80.79,320267,22788074.81,0.0
600036.SH,2024-01-19,82.08,82.33,80.7,80.72,433141,11610197.82,-0.000879
600036.SH,2024-01-22,81.01,80.0,79.05,79.63,221280,35444248.15,-0.014341
600036.SH,2024-01-23,81.02,82.41,79.17,79.84,187105,6899319.59,-0.011786
600036.SH,2024-01-24,80.55,81.42,79.88,80.86,205744,39543740.87,0.0
600036.SH,2024-01-25,81.68,83.9,78.41,81.22,437906,37789073.83,0.0
600036.SH,2024-01-26,83.71,85.79,82.97,83.76,128677,23129405.42,0.0
600036.SH,2024-01-29,84.3,85.14,82.5,84.64,80677,5215307.75,0.0
600036.SH,2024-01-30,82.9,87.37,82.61,84.13,484619,20579434.35,-0.006099
600036.SH,2024-01-31,84.41,86.78,83.15,85.05,97549,28780110.95,0.0
600036.SH,2024-02-01,85.22,88.34,85.0,86.2,118411,6689919.14,0.0
600036.SH,2024-02-02,84.43,85.03,80.35,83.49,497689,6345693.83,-0.031409
600036.SH,2024-02-05,86.65,89.36,83.36,85.98,114012,8995227.28,-0.002608
600036.SH,2024-02-06,84.74,85.76,84.36,85.42,78031,23851714.53,-0.009113
600036.SH,2024-02-07,86.6,87.68,83.61,84.91,187814,28085584.24,-0.014943
600036.SH,2024-02-08,86.69,88.07,83.58,86.59,448971,21856596.73,0.0
600036.SH,2024-02-09,87.22,89.6,86.23,88.3,422392,33564448.34,0.0
600036.SH,2024-02-12,87.77,86.88,84.81,86.84,266604,5091957.89,-0.016521
600036.SH,2024-02-13,87.82,91.37,85.61,88.67,290889,13020271.69,0.0
600036.SH,2024-02-14,85.81,88.36,87.43,87.52,410691,42165839.55,-0.013011
600036.SH,2024-02-15,91.54,91.99,89.93,91.58,254469,39377573.74,0.0
600036.SH,2024-02-16,88.34,91.53,86.73,89.78,196104,34278762.66,-0.019705
600036.SH,2024-02-19,90.32,91.77,88.22,90.41,256751,36457198.23,-0.012856
600036.SH,2024-02-20,90.12,92.12,87.97,88.73,191933,31912568.94,-0.031168
600036.SH,2024-02-21,93.51,94.7,93.15,93.75,67291,42730073.05,0.0
600036.SH,2024-02-22,90.8,93.26,89.7,90.94,452802,30601944.76,-0.029946
600036.SH,2024-02-23,92.64,92.47,90.45,92.22,117576,35215528.0,-0.016259
600036.SH,2024-02-26,90.67,93.09,87.15,90.62,88156,33742853.84,-0.033349
600036.SH,2024-02-27,88.37,90.17,86.36,89.91,480425,34335022.55,-0.04094
600036.SH,2024-02-28,90.49,92.1,88.65,91.02,398594,31640132.08,-0.029107
600036.SH,2024-02-29,92.72,94.55,90.51,93.9,347136,36992668.53,0.0
600036.SH,2024-03-01,96.88,97.88,94.21,97.8,485537,17892972.6,0.0
600036.SH,2024-03-04,95.16,96.49,91.81,94.14,142559,9849535.46,-0.037424
600036.SH,2024-03-05,95.3,97.81,93.52,94.87,288635,6534228.5,-0.030018
600036.SH,2024-03-06,100.27,101.57,95.64,98.42,490986,31578672.84,0.0
600036.SH,2024-03-07,94.69,97.2,93.66,94.37,345415,10158764.46,-0.041133
600036.SH,2024-03-08,94.59,98.75,92.26,95.21,217475,23272774.04,-0.032638
600036.SH,2024-03-11,95.07,97.64,95.08,95.3,158311,9975679.58,-0.031721
600036.SH,2024-03-12,95.22,99.8,95.02,96.38,178658,40209038.72,-0.020718
600036.SH,2024-03-13,95.99,97.82,94.31,94.62,163508,36879652.78,-0.038646
600036.SH,2024-03-14,91.17,94.39,90.33,91.32,399401,31529615.91,-0.072188
600036.SH,2024-03-15,85.92,88.94,86.99,87.04,471824,6043151.72,-0.115635
600036.SH,2024-03-18,88.06,89.72,88.28,89.25,418003,13038156.53,-0.093164
600036.SH,2024-03-19,91.83,94.89,90.83,91.81,294006,28979227.9,-0.067227
600036.SH,2024-03-20,92.62,93.69,90.98,92.59,359998,41018150.07,-0.059236
600036.SH,2024-03-21,91.95,94.23,88.38,91.45,257700,4956458.62,-0.070858
600036.SH,2024-03-22,86.94,90.38,87.8,87.83,94630,20259887.41,-0.10763
600036.SH,2024-03-25,90.22,89.88,87.57,89.15,379882,29170760.08,-0.09417
000858.SZ,2024-01-02,55.14,55.57,53.34,55.51,424263,9596515.99,0.0
000858.SZ,2024-01-03,54.76,55.37,54.59,54.72,166683,13315478.18,-0.014245
000858.SZ,2024-01-04,55.4,56.43,52.81,54.59,411189,13985033.81,-0.016562
000858.SZ,2024-01-05,54.63,54.96,52.65,54.66,377572,14945662.39,-0.015217
000858.SZ,2024-01-08,53.51,55.21,53.14,53.65,121508,17413701.98,-0.033556
000858.SZ,2024-01-09,53.77,56.21,53.82,54.57,480476,4421829.05,-0.016926
000858.SZ,2024-01-10,53.49,55.07,52.85,54.46,161140,24932165.58,-0.018916
000858.SZ,2024-01-11,54.53,55.68,54.55,55.08,252382,22007439.83,-0.007645
000858.SZ,2024-01-12,52.98,54.97,51.83,53.92,78193,24688717.06,-0.02867
000858.SZ,2024-01-15,52.61,54.52,52.12,53.38,206304,24284755.79,-0.038322
000858.SZ,2024-01-16,53.36,55.84,54.32,54.4,302075,25653094.2,-0.019993
000858.SZ,2024-01-17,52.98,54.85,52.35,53.95,378869,26519305.43,-0.028147
000858.SZ,2024-01-18,55.78,57.8,54.52,56.33,304398,14576420.25,0.0
000858.SZ,2024-01-19,56.88,57.18,54.37,55.82,101343,6590554.58,-0.008991
000858.SZ,2024-01-22,55.58,56.76,55.86,56.19,302550,16044458.75,-0.002433
000858.SZ,2024-01-23,56.67,59.54,56.92,57.56,80450,21211963.55,0.0
000858.SZ,2024-01-24,55.67,55.76,54.37,55.58,268113,6924630.46,-0.034459
